//X,Y,Z,Npoints_cloud1,Npoints_cloud2,STD_cloud1,STD_cloud2,significant change,distance uncertainty,M3C2 distance,Nx,Ny,Nz
14
1042.822265625000,1194.622070312500,1010.627746582031,1158.000000,957.000000,0.004416,0.005624,1.000000,0.004358,-0.009361,-0.050169,-0.896264,0.440674
1042.826660156250,1194.620239257813,1010.624877929688,1216.000000,963.000000,0.004545,0.005550,1.000000,0.004354,-0.009182,-0.050291,-0.890285,0.452618
1042.830078125000,1194.622070312500,1010.629699707031,1137.000000,944.000000,0.004251,0.005867,1.000000,0.004368,-0.008298,-0.050044,-0.899442,0.434167
1042.819213867188,1194.570800781250,1010.577941894531,712.000000,248.000000,0.002107,0.001581,1.000000,0.004170,-0.013314,-0.047085,-0.697710,0.714832
1042.827880859375,1194.571655273438,1010.579345703125,776.000000,284.000000,0.002382,0.001576,1.000000,0.004168,-0.013152,-0.047088,-0.703463,0.709170
1042.813354492188,1194.588378906250,1010.590515136719,1274.000000,692.000000,0.005064,0.003566,1.000000,0.004305,-0.013913,-0.049751,-0.777539,0.626864
1042.812622070313,1194.574951171875,1010.580139160156,839.000000,330.000000,0.002415,0.001996,1.000000,0.004190,-0.013710,-0.047082,-0.717644,0.694817
1042.817993164063,1194.579101562500,1010.583740234375,993.000000,453.000000,0.003148,0.002429,1.000000,0.004217,-0.013697,-0.047050,-0.734263,0.677233
1042.819458007813,1194.584838867188,1010.587768554688,1190.000000,607.000000,0.004376,0.003316,1.000000,0.004283,-0.013918,-0.049773,-0.760819,0.647052
1042.826782226563,1194.580200195313,1010.584838867188,1039.000000,496.000000,0.003570,0.002774,1.000000,0.004247,-0.013765,-0.047033,-0.739701,0.671290
1042.821044921875,1194.589599609375,1010.592102050781,1336.000000,736.000000,0.005628,0.003722,1.000000,0.004324,-0.013477,-0.049684,-0.785002,0.617497
1042.817260742188,1194.592407226563,1010.594665527344,1393.000000,818.000000,0.006133,0.003824,1.000000,0.004335,-0.013173,-0.049583,-0.794746,0.604914
1042.826660156250,1194.593017578125,1010.595947265625,1426.000000,850.000000,0.006361,0.003923,1.000000,0.004343,-0.012841,-0.049556,-0.797144,0.601752
1042.829223632813,1194.590332031250,1010.593750000000,1374.000000,785.000000,0.005959,0.003652,1.000000,0.004326,-0.012961,-0.049635,-0.789904,0.611218
1042.827636718750,1194.585815429688,1010.589294433594,1227.000000,650.000000,0.004897,0.003367,1.000000,0.004297,-0.013653,-0.049830,-0.767384,0.639249
